Username;Comment;Time;Label
@sarahmutaalimah501;maksudnya apa coba yang terakhir 😤;1 tahun yang lalu;0
@JaidynMezarench-w4f;0:03 Keren boleh coba bang gas di 𝐒𝐆𝐈𝟖𝟖;1 hari yang lalu;1
@Auwalul2111;Akuuu;1 tahun yang lalu;0
@NehanNehan-c5m;:_gyat::_gyat::_gyat::_gyat:;4 bulan yang lalu;0
@WoodComer-u4v;Seru nich  Weton88 cair terus 😊;1 hari yang lalu;1
@ivannana5343;Assalamualaikum bang;1 tahun yang lalu;0
@yeheskelekel2856;Sangat inda;5 bulan yang lalu;0
@EgiBoham;Coach Nova sty nya indo👍👍👍👍;3 minggu yang lalu;0
@AyanamieClipper;Assasination Classroom 1998;6 hari yang lalu;0
@ahmadabidfaizin577;Maklum harga 10jt soalnya ini varian rasa tinta cumi purba antartika;1 tahun yang lalu (diedit);0
@Ivanc8uLN;𝐷 О 𝑅 𝐴 𝟳 7menyediakan platform untuk ekspresi kreatif. 🍗;1 hari yang lalu;1
@ressykania;sejam yang berharga ♥️🫵🏻;7 bulan yang lalu;0
@sundarisukoco6893;Bang jangan buang buang Duit 😢😢 untuk makan Ya;1 tahun yang lalu;0
@JANGAN_LUPA_SUBSCRIBE_YGY;6:03 saja saja wkwkwk;1 tahun yang lalu;0
@zeroone3368;Bang buka kelas akuntansi 😂;1 tahun yang lalu;0
@daniaarawrr10;semangat bang ngontennya;1 tahun yang lalu;0
@cjzaahid7971;sebenarnya pada latihan apa sih .. bisa nya  mereka suruh main bola .;3 minggu yang lalu;0
@qiuls;Kumis nadhil ganggu beut;5 bulan yang lalu;0
@ferry_achmad;Salah satu film yang sangat emosional bagi bang JOKAN;3 hari yang lalu;0
@CrenzyyFootball24;Siap buka gunshop;5 bulan yang lalu;0
@zam.sky_;biak kaka;7 bulan yang lalu;0
@richardnurhikari8576;Ane cuman mampu beli yg 28k:v;9 bulan yang lalu;0
@Shunonly;Hadir aja;1 tahun yang lalu;0
@theofebrico7066;"Aku suka belajar Ekonomi
Terima kasih bang
tetep ada ya segmen ini";1 tahun yang lalu;0
@ka2nk;yah daapet itel 50 biji hhehehe;3 hari yang lalu;0
@regginaldyan7816;yang gua tunggu-tunggu akhirnya ngereview lagi;6 hari yang lalu;0
@zizahrahma27;Terimakasih bang ferry, aku anaknya gampang bosen dengan pemaparan teori buku. Karena konten konten bang Ferry, jadi bahan referensiku untuk lebih mengerti materi kuliahku🤍🤍;11 bulan yang lalu;0
@silvieamaehdalena1188;𝙶𝚊𝚋𝚞𝚝𝚝𝚝𝚝𝚝𝚝𝚝𝚝𝚝;12 hari yang lalu;0
@ansiwkeoenej;hadir;1 tahun yang lalu;0
@nathflorsia;bang bahas film until dawn dong, katanya terinspirasi dari game🧐;2 hari yang lalu;0
@AkhileshKumar-om4xi;01:04 coba aja kalo gk percaya main di GA RU DA HO KI pasti menang broo;2 hari yang lalu;1
@daffacahyaPranaja;Alah uwakbar;3 minggu yang lalu;0
@Danui0Jd5;Gacir bener, baru maen udh jepe;1 hari yang lalu;1
@ferryyaryaa;Sering sering sir v kontenny seru bat;5 bulan yang lalu;0
@najwaauliyadwiazzahrani2870;awooooo;5 bulan yang lalu;0
@hendragunawanhendragunawan426;Ko ada kiko;7 bulan yang lalu;0
@Junaszkhreud;ジュナ;1 bulan yang lalu;0
@FERDIGB-f8c;Emang kenapa hah;3 bulan yang lalu;0
@Zulkiflieo2NW;Melalui 𝘋 𝙊 𝐑 𝘈 7 𝟽 saya bertransformasi, dari tukang cukur ke pengusaha kecantikan. 🚟;2 hari yang lalu;1
@dindaaaaa9781;HADIRRR;1 tahun yang lalu;0
@nidzarhiarramdani8511;Bismillah raja ampat ❤;6 bulan yang lalu;0
@ZHIENDs;Awas bang di report mbak² pecinta gojo(es kiko);1 tahun yang lalu;0
@RajqWe3i;Rezeki memang nggak kemana! Main di 𝘿 𝐎 R 𝘈 𝟳 𝟩-bikin untung besar. 🏈;1 hari yang lalu;1
@МстиславСелезнёв;GA RU DA HO KI menang lebih mudah❤;2 hari yang lalu;1
@CordulazyaneZyane;❤❤❤❤❤ Ya Allah ini adalah yang sempurna dari bumi kami, dari Tanah kami,Tanah Papua, Terimakasih Tuhan,Dikau Luar Biasa.Indah sangat indah.;5 bulan yang lalu;0
@PappasAcevedo-n1k;05:35 ⚡️WETON88⚡️ tempat ngadu nasib wkwkw;1 hari yang lalu;1
@KamerynShelbi-f1l;Sehat selalu semuanya salam dari 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 gampang jepe;1 hari yang lalu;1
@wongedan4827;@ jatuhnya tu tepat abis rusakin pengabur sinyal, belum sembet buka hape lagi. Emg banyak org gak begitu notice krn cepet bgt. cb ulang di adegan itu wkwkwk. Kl play video itu malah udah diluar bukan di dalem sekolah;5 hari yang lalu;0
@blackmontatyannagreenberg-n2j;Bermain bersama teman-teman di Weton88 semakin seru dan asyik, semakin banyak pula rezekinya!;2 hari yang lalu;1
@alifzack;Cantiknya Papua;6 bulan yang lalu;0
@DinzzSky;Hadir;1 tahun yang lalu;0
@marveladriyanto077;hahaha;1 tahun yang lalu;0
@LaneySmallwood-y1w;Min video lu baguss , tetap pilih WETON88 😢;1 hari yang lalu;1
@HoshizoraOfficial;@agusprasetyo6374  wkwkwkk;4 bulan yang lalu;0
@XiangiQc4K;Modal usaha yang saya dapat dari А 𝐸 𝑅 O 𝟪 𝟴 membuat bisnis saya semakin berkembang. 🤘;1 hari yang lalu;1
@나TERY;Kiko enak tau😊😊😊😂;1 tahun yang lalu;0
@18andikasaputra12;komen ke 69;5 bulan yang lalu;0
@nopiyantie303;Baru tau nii;1 tahun yang lalu;0
@jenny-iy1nu;kikkkoooooo????, bagii duaaaa 2222;1 tahun yang lalu;0
@FirdausuhlRz;Di 𝐷 𝐄 W 𝘼 𝐃 𝑂 𝑅 𝐀 saya menemukan peluang, dari pegawai harian jadi pemilik usaha. 🏢;2 hari yang lalu;1
@StephanyaCTehusyarana;Jayapura kak;6 bulan yang lalu;0
@tonisetyawan5080;Anyinggg editing lu kerennn bang,lsnjottt trsss;5 bulan yang lalu;0
@fami417;Bacotttttttt;6 hari yang lalu;0
@paulatani9727;Ke misool lagi Kaka;6 bulan yang lalu;0
@monnn.10_;4:31 jokes bapack bapack xixixixi;1 tahun yang lalu;0
@AisyahiApuE;Hasil nyata di 𝘋 𝑂 R 𝐀 𝟩 𝟳 mengantar saya, dari pengantar roti jadi pemilik bakery. 🦯;1 hari yang lalu;1
@FullertonIrving-s4n;✨ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ✨;1 hari yang lalu;1
@Rizzzzzzzzzzzz7777;Anjayyyyy dikit lagi 3jt subscribe semangat bang 🔥;1 tahun yang lalu;0
@miumiuna;Menurut ku ini tuh cerita cerdas sih, yg suka maen game pasti ngerasain deg degan nya pas sembunyi dikejar2 penjahat nya, bahkan adegan2 gore yg kyk gini byk digame tapi di film ini diliatin se merdeka itu, angle2 yg diambil jg pas bgt bikin degdegan. Dan  ini tuh bisa aja diangkat dari isu apa aja ga perlu tentang racism sebenernya;3 hari yang lalu;0
@valrince1263;​ @aqilaputrianjani8374 tidak menerima kenyataan 😂;1 tahun yang lalu (diedit);0
@JoeVinLim;Bang Timo, abang ngeditnya pake apa? Kok bisa sebagus ini?;6 hari yang lalu;0
@KamarulZaman-w9w;Boss reaction kluang man official trailer 🙏;2 hari yang lalu;0
@once4124;lah tetap nontonlah ngerasain pengalamannya sendiri 😅;6 hari yang lalu;0
@CAROLIZAwvvd;sketer sering muncul, maen jadi seru banget;1 hari yang lalu;1
@kangrisan06;😂😂😂 yang tabah bang;6 hari yang lalu;0
@DitaATrtI;Swert Bonanja gacir hari ini, mntp;1 hari yang lalu;1
@aguswahidun6487;tak kirain hery prass;6 bulan yang lalu;0
@renggareng96;Kok 2010? Settingnya taun 2009 dan 2027;6 hari yang lalu;0
@yurantoekaputra9579;Suaranya mirip fiersha besari;6 bulan yang lalu;0
@hyun_doang;aku juga punya baju yg sama lah😭🙏;1 bulan yang lalu;0
@MaxwellmvW9a;Game-nya gacir, sketer nggak prnh zonk;1 hari yang lalu;1
@Icatechno;Jujur kasihan 🥲;1 tahun yang lalu;0
@gicoeng;​ @ngelantur  Lebih kaya nyari pertolongan ga sih Bang? Entah hubungi polisi atau damkar;6 hari yang lalu;0
@Tgggh-hu9sc;Hadir mantap bang;1 tahun yang lalu;0
@ngelantur;Thankyouuu juga udah support, ya memang itu tujuan review gua, membantu menjelaskan lagi ✌️;6 hari yang lalu;0
@menjelangremang7361;"Tapi kalau kata guru gembul cukup nebguasai 3 hal:
1. Bagaimana mendapatkan penghasilan
2. Bagaimana mengalokasikan anggaran
3. Bagaimana melakukan investasi (?) Cmimw";1 tahun yang lalu;0
@Farisz-bot;Gw penasaran bener gak ya kiko  ada yang 10jt hhhhmmmm?;1 tahun yang lalu;0
@NOESANTARiKSA_AMENESiA;"seIesai nonton pada minggu, 6 apriI 2025 \ 7 syawaI 1446 hijriah .       
jam 4;40  WiT";3 minggu yang lalu;0
@agamjuliardi2808;jadi inget kuliah ekonomi mikro wkwkkw;1 tahun yang lalu;0
@namikazesaifullah3362;bang... req spesifikasi realme 14 bang🙏🙏;3 jam yang lalu;0
@YENXB;15:17 Aim pebe😂😂;5 bulan yang lalu;0
@RobertA8cbl;Rezeki nomplok hari ini berkat 𝘿 𝘖 𝘙 𝘼 𝟳 𝟽,alhamdulillah! 🐼;2 hari yang lalu;1
@Meruchan4351;"Si security itu udh bilang padahal
Gaji kita berapa sih sampe rela tuker nyawa
Kurang lebih dialognya begitu";14 jam yang lalu;0
@No_Name23673;Kiko enak tau😁;1 tahun yang lalu;0
@ghifariahmad3098; @Oemry  ekonometrika 1 ama 2 ?;1 tahun yang lalu (diedit);0
@restylistiany7313;"Terima kasih sudah mengajak jalan2 virtual ke Raja Ampat 
Maasya Allah banget😍";7 bulan yang lalu;0
@lexion3732;Kebetulan lagi, lagi dan lagi plot armor keras kali anjert;6 hari yang lalu;0
@GitaJPqEl;Merasa sangat senang mendapatkan rezeki yang berkah dari A𝘎US𝙏О𝐓𝘖! 🐜;1 hari yang lalu;1
@dragilxcom4176;Sedang sibuk kerjakan apa ya?;1 hari yang lalu;0
@jezzzzzzzzzzzz;hadir;1 tahun yang lalu;0
@Keluarumahchanel;Keren mas❤;4 bulan yang lalu;0
@wazozkindomie; @jiqballl  iya bisa jadi;6 hari yang lalu;0
@rendisaputra7805;Udah berharap lebih, bakal liat yang harga 10jt, eh malah kena fakta;1 tahun yang lalu;0
@white_X;Cuti;1 tahun yang lalu;0
@abdillaharfan3825;​ @rustianayuliasni5336  oh bisa jadi. gak terlalu merhatiin ekspresi jefri bagian itu jadi agak gak ngeh. tapi emang tetep gaada backstory yang kuat buat jefri (dan siswa-siswa lain) buat tetep namatin wajib belajar 12 tahun. mereka emang punya backstory kenapa ngelakuin kriminal, tapi ga dijelasin kenapa tetep pada mau sekolah wkwkwk;6 hari yang lalu;0
@K-Remlin;Mengenaskan 😂;1 tahun yang lalu;0
@Nan1600;HADIR;1 tahun yang lalu;0
@ChenrEeq7;Happy banget main di 𝘼 𝘏 𝑀 А 𝐃 𝐓 О 𝘛 𝐎,menangnya besar terus! 🎮;1 hari yang lalu;1
@FathurRosi-q6v;BIARIN AJA 😊;1 hari yang lalu;0
@lyaaasksk;Kit heart sama ripiew 10jt;1 tahun yang lalu;0
@AntoFathir;"Kualitas videonya makin epic 
Kereen euuy";6 bulan yang lalu;0
@LaluamirfadliadmanMiqamir;Mmtap talbir itu;2 minggu yang lalu;0
@ingeoktf;Bener2 happy banget bang arsal keliatannya dan ke transfer sampe siniiii🤍💫;6 bulan yang lalu;0
@VinoNazril-o9q;bentuk nya kiko😅😅😅😅;6 bulan yang lalu;0
@KimDasSLzKWuw;Bukan kaleng-kaleng Tempat viral ini bikin jeppe tiap hari;2 hari yang lalu;1
@judinmtm1843;Bukan Kritik Bung, MASA ANDA TDK BISA LIHAT ATAU PAHAM TENTANG MAIN BOLA, betapa indahnya permainan Korea Selatan. INI UTK KOREKSI PEMAIN KAMPUNG, BIAR BISA MAJU.;3 minggu yang lalu;0
@zupeer1042;Yang dikenang itu kemenangan bukan main cantik bagaimanapun permainannya yg paling diingat adalah kemenangan....paham ora son....;3 minggu yang lalu;0
@Eliakimtqtz;Swert Bonanja gacir, modal kecil jepek;1 hari yang lalu;1
@mifsss;hadir;1 tahun yang lalu;0
@EMILMAHDI2707;Bang mau tanya di kala kita punya usaha sukses, kenapa kita memberi kepada yang lebih membutuhkan itu terasa berat,  itu kenapa bang apakah itu semua adalah ujian juga??;1 tahun yang lalu;0
@jhon_raid;Gojo Dibagi Dua;1 tahun yang lalu;0
@RaviJJBvt;Jika Anda ingin memperluas jaringan Anda, 𝘋 𝘖 R A 7 𝟽-bisa bermanfaat. 🥫;1 hari yang lalu;1
@Turublazer;"aga kecewa sama iklannya kok ponzi invest.
dahlah";1 tahun yang lalu;0
@siapalo1576;DITUNGGU REVIEW RUMAH UNTUK ALIE YA BANG MAKASIHHH 🙏🙏🙏✅✅✅;6 hari yang lalu;0
@RuslanAbdulgani-u9q;Fisik letoy;2 minggu yang lalu;0
@figoaqshalpratama8472;Too much spoiler sih bang menurut gua..;4 hari yang lalu;0
@nyapz23;Yg namanya mirza selalu bermasalah;3 minggu yang lalu;0
@MukcurMukcur;El tembak njir 😂;5 bulan yang lalu;0
@shafiravania;bagus bgt kualitas vidionya! langsung auto subcribed. sukses terus mas, semoga saya bisa sampai di papua juga.;4 bulan yang lalu;0
@Pterodatcyl;Arsal Bahtiar Besari;6 bulan yang lalu;0
@tonyradiansyah3064;Semoga konten ini banyak yg suka, biar bisa ada next episode bang. Amin;1 tahun yang lalu;0
@uliuli9428;"Bang Timo, thank you for always explaining the director's idea or what the movie is really about. Seriously, your movie knowledge is next level, and your vocabulary when you talk about them are on the same level! I envy you. Because I love watching movies, but I can never express the deep, complex ideas in them. And the way you explain it with such 'compassion' hahahaha, those back-to-back coincidences in this PBD, and your video intro is always fire! GG!

Tetap semangat ngonten, bang untuk mencerdaskan netijen ""budiman"".";6 hari yang lalu (diedit);0
@oktamonr; @Xynnna15  kiko;1 tahun yang lalu (diedit);0
@entinratini6447;Hadirrrrrrr;1 tahun yang lalu;0
@thebeatles8008;Penempatan;3 hari yang lalu;0
@AlyaYPP1p;Wede aman, nggak prnh ada masalah;1 hari yang lalu;1
@navry0769;Angkatan 2009 (lulus 2012) juga ya bro?;1 tahun yang lalu;0
@ankerer4110;udah kyk kuliah;1 tahun yang lalu;0
@Eliasuw6cH;Wede tadi malam, makswin di Starlight;1 hari yang lalu;1
@JamesEN3fv;Top up gampang, wede juga cepet banget;1 hari yang lalu;1
@BIG.H88;Part 2 fi seruuu coy;5 bulan yang lalu;0
@BayuPamungkas-c4i;Apa pun itu taktiknya yg penting kta sdah ngerti cara bermain taktik  pola permainan dripda hrus bermain longball .lari2 gk jelas . Good job indo u17 smoga ini awal kbngkitan garuda muda serta jdi pondasi yg kuat buat masa depan 🔥🔥🔥;3 minggu yang lalu;0
@C4TTu;Yok bisa yok 3 juta subs;1 tahun yang lalu;0
@Mushroom13373;P;1 tahun yang lalu;0
@zakyzabbal;Ini ngebantu banget bang buat gw yang baru masuk kuliah Ekonomi;1 tahun yang lalu;0
@Ramos-sofian;Cocok.. asyik;4 bulan yang lalu;0
@Azkurr;Perasaan diwarung 2 rb dh;1 tahun yang lalu;0
@KevinTejakusuma208;Nye nye nye nye nye;6 hari yang lalu;0
@hackerjalanan;Unboxing HMD barca bang;1 jam yang lalu;0
@nabilbilek8833;Peak intro 🔥🔥🔥🔥;6 hari yang lalu;0
@maqmaqezzz;Tambahin, Bisnis Internasional, Perilaku Konsumen;1 tahun yang lalu;0
@PriyaX0pFq;Happy banget, cuma di 𝐃 𝘌 𝑊 А 𝘋 𝑂 Я А keberuntungan datang terus! 🐑;1 hari yang lalu;1
@Raldzz.;Hiyehh;1 tahun yang lalu;0
@Yudhiez_M;pengen banget weh ke papua, butuh budget berapa ya kira2?;4 bulan yang lalu;0
@asgaming9652;Saya suka gimana 🅿️🆄🅻🅰️🆄777 selalu update;1 hari yang lalu;1
@antotriyanto9419;emg sebagus itu ya film ini?;6 hari yang lalu;0
@ihsan_rifai;behh bang gw akuin vidio lu baaagus bangett ❤❤;3 bulan yang lalu;0
@mangubabuji;🅿️🆄🅻🅰️🆄777, hadiah besar menanti!;2 hari yang lalu;1
@BSKLIEEETODDEJETNIHBOSS;Semoga bg Medy bisa 3 JT subscriber aminnn;1 tahun yang lalu;0
@gamalieltampubolon2524;"Review dari Ngelantur kali ini benar2 sesuai dengan apa yg aku pikirin 😂 Benar sih istilah Surelis di film ini sebegitu kuat nya..😂
bahkan komen Ferry Irwandi juga mempengaruhi aku yg mikir kalo film ini bakal benar2 keren😅 Top Emang Ngelantur review nya👍";5 hari yang lalu;0
@FauzyDicky;Kak beli kepala megatron aku lihat di tik tok ada orang pakai kepala megatron;1 tahun yang lalu;0
@Tarouuuuuuuu9;Sekiko itu kah?;1 tahun yang lalu;0
@ufauuch9419;"Bagus 
Bisa nandingi daerah Bali ini";2 bulan yang lalu;0
@Channelriin;suaranya mirip bang fiersa😭;5 bulan yang lalu;0
@KURI_KARI2029;bentar lagi 3jt;1 tahun yang lalu;0
@KIM_JONG_UN-Rocket1Man;Timor Leste tanah gersang,syurga sesungguhnya Papua dan New guinea;6 bulan yang lalu;0
@kusumaaz-zahra6382;Bang umboxing figure hatsinemiku😊;1 tahun yang lalu;0
@SarahAzzalia-yh1lm;ke Biak dongn Bang Arsal, banyak tempat bagus untuk di explor;4 hari yang lalu;0
@GZ56MR;Gojo kiko enak gojo😂😂;1 tahun yang lalu;0
@KevinTejakusuma208;"DROP, UNTIL DAWN dan THE SNITCH tayang mulai RABU INI
THE ACCOUNTANT 2 tayang mulai JUMAT INI
Wahai netijen";6 hari yang lalu;0
@Leu_chanel;Voice ny ky bang fiersa besari lu bang;7 bulan yang lalu;0
@RhoadesHorne-k2m;Konten yang gw tunggu sehabis pulang kerja gas ramaikan bro biar mledak vidionya ,Salam ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴!;1 hari yang lalu;1
@tamo_45;Apa yg mau diharapkan dr presiden ini😂😂😂😂 omon omon;21 jam yang lalu;0
@TheSoundOfEarth1;𝘈𝘬𝘶;8 bulan yang lalu;0
@OppoA71-ue1xc;Kiko nya gojo panjang banget yang ada di bawah gojo anu anunya;1 tahun yang lalu;0
@korosgoblok;"Bg judulnya harus ""unboxing es kiko""";1 tahun yang lalu;0
@bukanhusein6749;awoooooo;5 bulan yang lalu;0
@TemiBoy-m3p;Terlalu bnyk gaya nendang ngk gol .beruntung gol menang terlalu cengeng dikit 2 nangis;3 minggu yang lalu;0
@Reaksion-691;indonesia memang joss...  walau tdk diunggulkan.;3 minggu yang lalu;0
@nurrahmannurrahman4238;Resep baca komen² pengamat dan pelatih online;3 minggu yang lalu;0
@Renaldy11;Old money mah yg style2 koko, tapi mereka rata2 pake jamnya richard milles,patek,rolex dll wkwkwkwk;4 bulan yang lalu (diedit);0
@FarahnnEvV;Jelajahi dunia 𝘋 𝑂 R 𝐀 𝟩 𝟳 dan lihat apa yang ditawarkannya. 😘;1 hari yang lalu;1
@mrherss;Kameranya apa ni bang? Bagus banget;5 bulan yang lalu;0
@GiannaGordon-b1f;Memang web terbaik se asia gak salah pilih cuma 🚩Weton88🚩 yang bisa gni !;1 hari yang lalu;1
@MahdalenaAsri-e3n;Jangan merusak alam.;5 hari yang lalu;0
@HarutoDhYjh;Aku coba-coba di 𝘿 𝐸 𝐖 А 𝘋 О 𝑅 А, ternyata langsung dapet jakpot gede! 🥡;1 hari yang lalu;1
@sulthonaulia1031;"Idzin bg fer,Bahas tentang nofap dong bg,
Mungkin permahasalahan pmo ini belum banyak yg mengetahuinya.";1 tahun yang lalu;0
@satriazaky;Habang wibu suka nonton anemia;1 tahun yang lalu;0
@bahrunibnusyam3209;Yang belum ke mas eka keramagz, yuks mampir, beliau juga sedikit ngebahas film ini..😊;6 hari yang lalu;0
@GHABRIEL9264;Yah telat 1 thn;5 bulan yang lalu;0
@SelyDeta;"Ini film isinya ""kebetulan"" Btw😂😂";6 hari yang lalu;0
@masafifnugroho1366;Bang lu lebih sejahtera ketika jadi pns atau sekarang jadi YouTubers?;1 tahun yang lalu;0
@rudyanwar9672;Setidaknya kalian menghargai usaha garuda muda, ayo garuda 17 bentangkan lagi sayap mu❤;3 minggu yang lalu;0
@irfan_azm;Bg feri saya mau tanya, kalo kadar sistem ekonomi pancasila (campuran) kadarnya lebih dominan yang mana ya bg ?, apakah sistem pasar atau terpusat ?;2 bulan yang lalu;0
@Anantaem99C;Baru jepe, wede lancar banget;1 hari yang lalu;1
@SokaCycle;Keren bgt bang kontennya. Detail dan pengambilan gambarnya pas bgt. Jd penonton bisa menyimak dan menikmati konten. Ga membosankan.;6 bulan yang lalu;0
@KieranmXiVt;Gacir bener, baru maen udh jepe;1 hari yang lalu;1
@MainanAnak-f8r;@ memangnya ada yang salah kah nyari di wikipedia, lusercing tentang kelemahan  samsung flip aja yang pertama kali kluar dari wikipedia 😅, dan ane kan nyaranin ngga wiki aja tapi forum forum juga dan yutup yutp juga yah 😅, dan ente emang selalu monitoring pemakaian HP flip di wilayah ente sampe yakin bngt, dan ngga semua orang yah mau pakai samsung care, gua aja dari dlu hp ngga pernah beli asuransin juga kok, jadi yah ngga semua sesuai dengan yang ente pikirin aja gan, ente haru liat secara luas juga ada loh masalah yang bahkan ente ngga tau;1 hari yang lalu;0
@abangiswandi4450;Sambas Kalimantan Barat;5 bulan yang lalu;0
@ahmanberutu7869;Bahas Rempang bg;1 tahun yang lalu;0
@prodkeyzerdagoat;Iyakah? Perasann kek ga ada beda;1 tahun yang lalu;0
@ibnuubaydilah3120;Apa perlukah intro kah buat Sekmen ini?;1 tahun yang lalu;0
@mungsap0;Fans gojo menangis melihat ini🗿🙏🏻;11 bulan yang lalu;0
@Bintangrai;Bang letterbox lu apa?;6 hari yang lalu;0
@anggaseluuu5773;yg versi kebelah ada g bamg;1 tahun yang lalu;0
@CinthiaHawk-r7u;The best tahun ini di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 pasti byar!;1 hari yang lalu;1
@AntonH-j2x;teknik bermain nya Uda ok,tinggal pisik di tingkat kan;3 minggu yang lalu;0
@zakariaalhaq-td7go;"Yg gak realis buat gw ya ngapain lama² digudang??? 😂 Tapi kalo secara logis, ya logis mereka apalagi jefri melakukan hal brutal tsb, karena semua adegan yg di bahas oleh anak² itu adl ""masalah dg orang tuanya"", ditambah situasi jakarta chaos rasism yg gak dipungkiri, itu sih yg mengganggu buat gw pas tokoh utama digudang... Coba kalo gercep nyari jalan, itu loteng gak mesti nunggu bokapnya dontol gosong dulu kan ? 😂";6 hari yang lalu;0
@GorkyParky-e1l;Kuat !!!! U17 Indonesia;2 minggu yang lalu;0
@rivaikarim319;baru 3 minggu menjabat, sudah diundang raja charles inggris. padahal kita tau kerajaan inggris ini paling ketat protokolernya, pasti msyrakat inggris heran kok bisa? dijadikan tamu kehormatan di kemerdekaan india, disopiri raja yordania, disambut heboh di turkey, bakal diundang di parade rusia dll.. belum pidato2nya diluar negeri;20 jam yang lalu;0
@BudidVl9M;Di D 𝐄 𝐖 𝐀 𝐃 𝘖 𝐑 А mendukung transformasi saya, dari tukang kayu jadi bos furniture. 🏆;2 hari yang lalu;1
@mi-ing_Gaming;Bangsat lah kiko asli, dari awal gue udah ragu dari pekejing kaya kardus sepatu yg di tempel gambar buatan lu bgitu hahaha;1 tahun yang lalu;0
@agumouzengroup3241;kok bisa ada yang ketawa nonton film ini;6 hari yang lalu;0
@akuanakdesa885;Sehat selalu Bapak Presiden, semoga segala urusan Negara dimudahkan Oleh Allah SWT.;1 hari yang lalu;0
@Saidrsn;bahas sinners bang;5 hari yang lalu;0
@coegmaskking9966;Kamarlu bagus bang;6 hari yang lalu;0
@theyekzz8739;Gaya permainan teamnas Indonesia u17  lebih baik bertahan dan menunggu momen untuk menyerang,gaya bermainya ala team Italia di jaman ada gatuso;3 minggu yang lalu;0
@LaniYeo0VXfw3y;Auto sultan Weedey kali ini beneran bikin rekening bahagia;2 hari yang lalu;1
@EmmaUwIiH;Swert Bonanja gacir, jepe tiap maen;1 hari yang lalu;1
@4N4LUAM;Paling suka gw klo umur 17 yg main,,mau kalah mau menang,,tetap semangat dan mental nya gak turun.;2 minggu yang lalu (diedit);0
@Gavinfawwazabrisam;Kak kapan 10 juta subscriber aku sudah menunggu 10 juta subscriber;1 tahun yang lalu;0
@cruisers5626;bang, kok full body? ga 1/2?;1 tahun yang lalu;0
@adriankaspari1295;Nicee.;1 tahun yang lalu;0
@LuisaRylie-q4h;Semangat bang buat konten nya 😊Salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe;1 hari yang lalu;1
@aryobagoes;V AWOOOOO..;5 bulan yang lalu;0
@adwipe3138;Absolute ngelantur 🫡;6 hari yang lalu;0
@yukkbisaguys;"Mantap bang sejalan dengan video saya mengenai konsep dasar ekonomi..
https://youtu.be/EMKGgLiKbp0?si=KK8-JmxTwRZc8q6U";1 tahun yang lalu;0
@arisodhe7692;👍;6 bulan yang lalu;0
@kire_jomblo;gojo dibelah jadi 1 per 2 dibbelah sama sukuna;1 tahun yang lalu;0
@RikopnmcO;Nggak ada yang bisa prediksi, tapi di D O 𝘙 𝘈 𝟩 7,keberuntungan bisa datang kapan saja! ⛩;1 hari yang lalu;1
@muhamadkhalam;"Tapi walau dari segi cerita Mid dan gua udah puang pikiran logis karna tau ini film joko Anwar wkwk, yang biasanya gua ga suka kali ini gua suka gua pengen nikmatin dan terima seluruh alur di film ini anjir berasa jadi full tegang, btw skor dari gua buat film ini 8,5/10.

Ohh iya mungkin  bisa potensi buat di bikin lanjutan misal perang besar antara antara ras dan agama di karenakan, atau mungkin bisa di bikin ala ala crows zero yang lawan sekolahan 🔥, kalo dari segi cerita yaa tatap mid tapi dari segi keseruan pas gokil 🔥.";6 hari yang lalu;0
@Sipeternaktorchic255;Harusnya coba make mie  nissin bang😅;1 tahun yang lalu;0
@SalwaPbun;Beli mainan sukuna;1 tahun yang lalu;0
@yoanabdillah6624;Saya;1 tahun yang lalu;0
@muhammadridwan-dp3lt;Sa di Nabire kaks;4 hari yang lalu;0
@maruf-jx2nu;gasss;1 tahun yang lalu;0
@anamarani;"Ke wasior kak, Kabupaten Teluk Wondama, disana kak bisa ke Teluk Cendrawasih dan banyak destinasi wisata lainnya,dan tempat"" bersejarah. Sesuai sloganya Teluk Wondama ""Kota Peradaban Orang Papua"" 🙏😊";5 bulan yang lalu;0
@Perihalseni;Fiks setuju, gua kuliah di bidng ini bang, siapa tau jadi paham lewat sini;1 tahun yang lalu;0
@Sanzzzq;Top up dan WD super cepat, puas banget;1 hari yang lalu;1
@IrmaJuwita-se7mu;Bang gojo udah mati;1 hari yang lalu;0
@dwioktanugroho;Sebagai Penikmat film sejak SD.. Saya jarang kritik soal teknis... Tapi soal selera aja;4 hari yang lalu;0
@PappasAcevedo-n1k;🤑 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 🤑;1 hari yang lalu;1
@AikoSomchaiIniwoer;cukup juday sob, berjuang beneran lebih berfaedah;1 hari yang lalu;1
@jiyamalif5795;Mahal amat buat beli es kiko;5 bulan yang lalu;0
@AndriPratama-w9n;Pulau lemon bg Papua Barat keren;6 bulan yang lalu;0
@luffytaroslebew3522;Halo bang medy;1 tahun yang lalu;0
